Method,Return,Seed,Step,Task
Elephant,-1000.0,0,999,MountainCar-v0
Elephant,-1000.0,0,1999,MountainCar-v0
Elephant,-1000.0,0,2999,MountainCar-v0
Elephant,-1000.0,0,3999,MountainCar-v0
Elephant,-422.0,0,4421,MountainCar-v0
Elephant,-196.0,0,4617,MountainCar-v0
Elephant,-287.0,0,4904,MountainCar-v0
Elephant,-183.0,0,5087,MountainCar-v0
Elephant,-376.0,0,5463,MountainCar-v0
Elephant,-221.0,0,5684,MountainCar-v0
Elephant,-251.0,0,5935,MountainCar-v0
Elephant,-160.0,0,6095,MountainCar-v0
Elephant,-146.0,0,6241,MountainCar-v0
Elephant,-175.0,0,6416,MountainCar-v0
Elephant,-172.0,0,6588,MountainCar-v0
Elephant,-259.0,0,6847,MountainCar-v0
Elephant,-164.0,0,7011,MountainCar-v0
Elephant,-166.0,0,7177,MountainCar-v0
Elephant,-180.0,0,7357,MountainCar-v0
Elephant,-491.0,0,7848,MountainCar-v0
Elephant,-375.0,0,8223,MountainCar-v0
Elephant,-215.0,0,8438,MountainCar-v0
Elephant,-310.0,0,8748,MountainCar-v0
Elephant,-181.0,0,8929,MountainCar-v0
Elephant,-124.0,0,9053,MountainCar-v0
Elephant,-154.0,0,9207,MountainCar-v0
Elephant,-157.0,0,9364,MountainCar-v0
Elephant,-189.0,0,9553,MountainCar-v0
Elephant,-164.0,0,9717,MountainCar-v0
Elephant,-150.0,0,9867,MountainCar-v0
Elephant,-118.0,0,9985,MountainCar-v0
Elephant,-149.0,0,10134,MountainCar-v0
Elephant,-130.0,0,10264,MountainCar-v0
Elephant,-142.0,0,10406,MountainCar-v0
Elephant,-150.0,0,10556,MountainCar-v0
Elephant,-153.0,0,10709,MountainCar-v0
Elephant,-144.0,0,10853,MountainCar-v0
Elephant,-140.0,0,10993,MountainCar-v0
Elephant,-108.0,0,11101,MountainCar-v0
Elephant,-185.0,0,11286,MountainCar-v0
Elephant,-109.0,0,11395,MountainCar-v0
Elephant,-136.0,0,11531,MountainCar-v0
Elephant,-104.0,0,11635,MountainCar-v0
Elephant,-140.0,0,11775,MountainCar-v0
Elephant,-181.0,0,11956,MountainCar-v0
Elephant,-143.0,0,12099,MountainCar-v0
Elephant,-153.0,0,12252,MountainCar-v0
Elephant,-174.0,0,12426,MountainCar-v0
Elephant,-150.0,0,12576,MountainCar-v0
Elephant,-150.0,0,12726,MountainCar-v0
Elephant,-164.0,0,12890,MountainCar-v0
Elephant,-152.0,0,13042,MountainCar-v0
Elephant,-93.0,0,13135,MountainCar-v0
Elephant,-152.0,0,13287,MountainCar-v0
Elephant,-162.0,0,13449,MountainCar-v0
Elephant,-94.0,0,13543,MountainCar-v0
Elephant,-163.0,0,13706,MountainCar-v0
Elephant,-194.0,0,13900,MountainCar-v0
Elephant,-139.0,0,14039,MountainCar-v0
Elephant,-136.0,0,14175,MountainCar-v0
Elephant,-101.0,0,14276,MountainCar-v0
Elephant,-151.0,0,14427,MountainCar-v0
Elephant,-153.0,0,14580,MountainCar-v0
Elephant,-136.0,0,14716,MountainCar-v0
Elephant,-88.0,0,14804,MountainCar-v0
Elephant,-145.0,0,14949,MountainCar-v0
Elephant,-153.0,0,15102,MountainCar-v0
Elephant,-157.0,0,15259,MountainCar-v0
Elephant,-151.0,0,15410,MountainCar-v0
Elephant,-83.0,0,15493,MountainCar-v0
Elephant,-147.0,0,15640,MountainCar-v0
Elephant,-147.0,0,15787,MountainCar-v0
Elephant,-100.0,0,15887,MountainCar-v0
Elephant,-95.0,0,15982,MountainCar-v0
Elephant,-93.0,0,16075,MountainCar-v0
Elephant,-104.0,0,16179,MountainCar-v0
Elephant,-152.0,0,16331,MountainCar-v0
Elephant,-159.0,0,16490,MountainCar-v0
Elephant,-88.0,0,16578,MountainCar-v0
Elephant,-150.0,0,16728,MountainCar-v0
Elephant,-86.0,0,16814,MountainCar-v0
Elephant,-91.0,0,16905,MountainCar-v0
Elephant,-150.0,0,17055,MountainCar-v0
Elephant,-149.0,0,17204,MountainCar-v0
Elephant,-108.0,0,17312,MountainCar-v0
Elephant,-162.0,0,17474,MountainCar-v0
Elephant,-87.0,0,17561,MountainCar-v0
Elephant,-90.0,0,17651,MountainCar-v0
Elephant,-89.0,0,17740,MountainCar-v0
Elephant,-104.0,0,17844,MountainCar-v0
Elephant,-153.0,0,17997,MountainCar-v0
Elephant,-96.0,0,18093,MountainCar-v0
Elephant,-153.0,0,18246,MountainCar-v0
Elephant,-147.0,0,18393,MountainCar-v0
Elephant,-154.0,0,18547,MountainCar-v0
Elephant,-89.0,0,18636,MountainCar-v0
Elephant,-143.0,0,18779,MountainCar-v0
Elephant,-108.0,0,18887,MountainCar-v0
Elephant,-138.0,0,19025,MountainCar-v0
Elephant,-143.0,0,19168,MountainCar-v0
Elephant,-89.0,0,19257,MountainCar-v0
Elephant,-138.0,0,19395,MountainCar-v0
Elephant,-147.0,0,19542,MountainCar-v0
Elephant,-140.0,0,19682,MountainCar-v0
Elephant,-144.0,0,19826,MountainCar-v0
Elephant,-137.0,0,19963,MountainCar-v0
Elephant,-92.0,0,20055,MountainCar-v0
Elephant,-149.0,0,20204,MountainCar-v0
Elephant,-137.0,0,20341,MountainCar-v0
Elephant,-139.0,0,20480,MountainCar-v0
Elephant,-103.0,0,20583,MountainCar-v0
Elephant,-86.0,0,20669,MountainCar-v0
Elephant,-143.0,0,20812,MountainCar-v0
Elephant,-141.0,0,20953,MountainCar-v0
Elephant,-96.0,0,21049,MountainCar-v0
Elephant,-165.0,0,21214,MountainCar-v0
Elephant,-88.0,0,21302,MountainCar-v0
Elephant,-139.0,0,21441,MountainCar-v0
Elephant,-138.0,0,21579,MountainCar-v0
Elephant,-138.0,0,21717,MountainCar-v0
Elephant,-138.0,0,21855,MountainCar-v0
Elephant,-138.0,0,21993,MountainCar-v0
Elephant,-142.0,0,22135,MountainCar-v0
Elephant,-143.0,0,22278,MountainCar-v0
Elephant,-99.0,0,22377,MountainCar-v0
Elephant,-109.0,0,22486,MountainCar-v0
Elephant,-85.0,0,22571,MountainCar-v0
Elephant,-160.0,0,22731,MountainCar-v0
Elephant,-95.0,0,22826,MountainCar-v0
Elephant,-124.0,0,22950,MountainCar-v0
Elephant,-90.0,0,23040,MountainCar-v0
Elephant,-139.0,0,23179,MountainCar-v0
