Method,Return,Seed,Step,Task
FTA,-1000.0,0,999,MountainCar-v0
FTA,-1000.0,0,1999,MountainCar-v0
FTA,-1000.0,0,2999,MountainCar-v0
FTA,-1000.0,0,3999,MountainCar-v0
FTA,-1000.0,0,4999,MountainCar-v0
FTA,-567.0,0,5566,MountainCar-v0
FTA,-904.0,0,6470,MountainCar-v0
FTA,-678.0,0,7148,MountainCar-v0
FTA,-1000.0,0,8148,MountainCar-v0
FTA,-594.0,0,8742,MountainCar-v0
FTA,-613.0,0,9355,MountainCar-v0
FTA,-420.0,0,9775,MountainCar-v0
FTA,-459.0,0,10234,MountainCar-v0
FTA,-496.0,0,10730,MountainCar-v0
FTA,-363.0,0,11093,MountainCar-v0
FTA,-528.0,0,11621,MountainCar-v0
FTA,-221.0,0,11842,MountainCar-v0
FTA,-374.0,0,12216,MountainCar-v0
FTA,-368.0,0,12584,MountainCar-v0
FTA,-221.0,0,12805,MountainCar-v0
FTA,-232.0,0,13037,MountainCar-v0
FTA,-358.0,0,13395,MountainCar-v0
FTA,-291.0,0,13686,MountainCar-v0
FTA,-239.0,0,13925,MountainCar-v0
FTA,-222.0,0,14147,MountainCar-v0
FTA,-220.0,0,14367,MountainCar-v0
FTA,-182.0,0,14549,MountainCar-v0
FTA,-392.0,0,14941,MountainCar-v0
FTA,-367.0,0,15308,MountainCar-v0
FTA,-266.0,0,15574,MountainCar-v0
FTA,-247.0,0,15821,MountainCar-v0
FTA,-336.0,0,16157,MountainCar-v0
FTA,-235.0,0,16392,MountainCar-v0
FTA,-388.0,0,16780,MountainCar-v0
FTA,-236.0,0,17016,MountainCar-v0
FTA,-297.0,0,17313,MountainCar-v0
FTA,-230.0,0,17543,MountainCar-v0
FTA,-227.0,0,17770,MountainCar-v0
FTA,-225.0,0,17995,MountainCar-v0
FTA,-234.0,0,18229,MountainCar-v0
FTA,-254.0,0,18483,MountainCar-v0
FTA,-137.0,0,18620,MountainCar-v0
FTA,-162.0,0,18782,MountainCar-v0
FTA,-232.0,0,19014,MountainCar-v0
FTA,-218.0,0,19232,MountainCar-v0
FTA,-155.0,0,19387,MountainCar-v0
FTA,-257.0,0,19644,MountainCar-v0
FTA,-201.0,0,19845,MountainCar-v0
FTA,-264.0,0,20109,MountainCar-v0
FTA,-238.0,0,20347,MountainCar-v0
FTA,-206.0,0,20553,MountainCar-v0
FTA,-249.0,0,20802,MountainCar-v0
FTA,-221.0,0,21023,MountainCar-v0
FTA,-229.0,0,21252,MountainCar-v0
FTA,-165.0,0,21417,MountainCar-v0
FTA,-163.0,0,21580,MountainCar-v0
FTA,-296.0,0,21876,MountainCar-v0
FTA,-157.0,0,22033,MountainCar-v0
FTA,-157.0,0,22190,MountainCar-v0
FTA,-155.0,0,22345,MountainCar-v0
FTA,-221.0,0,22566,MountainCar-v0
FTA,-147.0,0,22713,MountainCar-v0
FTA,-165.0,0,22878,MountainCar-v0
FTA,-243.0,0,23121,MountainCar-v0
FTA,-153.0,0,23274,MountainCar-v0
FTA,-159.0,0,23433,MountainCar-v0
FTA,-170.0,0,23603,MountainCar-v0
FTA,-162.0,0,23765,MountainCar-v0
FTA,-170.0,0,23935,MountainCar-v0
FTA,-166.0,0,24101,MountainCar-v0
FTA,-159.0,0,24260,MountainCar-v0
FTA,-161.0,0,24421,MountainCar-v0
FTA,-159.0,0,24580,MountainCar-v0
FTA,-174.0,0,24754,MountainCar-v0
FTA,-160.0,0,24914,MountainCar-v0
FTA,-170.0,0,25084,MountainCar-v0
FTA,-213.0,0,25297,MountainCar-v0
FTA,-163.0,0,25460,MountainCar-v0
FTA,-155.0,0,25615,MountainCar-v0
FTA,-214.0,0,25829,MountainCar-v0
FTA,-165.0,0,25994,MountainCar-v0
FTA,-255.0,0,26249,MountainCar-v0
FTA,-162.0,0,26411,MountainCar-v0
FTA,-161.0,0,26572,MountainCar-v0
FTA,-168.0,0,26740,MountainCar-v0
FTA,-164.0,0,26904,MountainCar-v0
FTA,-159.0,0,27063,MountainCar-v0
FTA,-163.0,0,27226,MountainCar-v0
FTA,-161.0,0,27387,MountainCar-v0
FTA,-255.0,0,27642,MountainCar-v0
FTA,-193.0,0,27835,MountainCar-v0
FTA,-219.0,0,28054,MountainCar-v0
FTA,-169.0,0,28223,MountainCar-v0
FTA,-236.0,0,28459,MountainCar-v0
FTA,-159.0,0,28618,MountainCar-v0
FTA,-225.0,0,28843,MountainCar-v0
FTA,-223.0,0,29066,MountainCar-v0
FTA,-230.0,0,29296,MountainCar-v0
FTA,-235.0,0,29531,MountainCar-v0
FTA,-180.0,0,29711,MountainCar-v0
FTA,-182.0,0,29893,MountainCar-v0
FTA,-707.0,0,30600,MountainCar-v0
FTA,-1000.0,0,31600,MountainCar-v0
FTA,-407.0,0,32007,MountainCar-v0
FTA,-176.0,0,32183,MountainCar-v0
FTA,-167.0,0,32350,MountainCar-v0
FTA,-180.0,0,32530,MountainCar-v0
FTA,-168.0,0,32698,MountainCar-v0
FTA,-170.0,0,32868,MountainCar-v0
FTA,-228.0,0,33096,MountainCar-v0
FTA,-1000.0,0,34096,MountainCar-v0
FTA,-164.0,0,34260,MountainCar-v0
FTA,-1000.0,0,35260,MountainCar-v0
FTA,-777.0,0,36037,MountainCar-v0
FTA,-177.0,0,36214,MountainCar-v0
FTA,-176.0,0,36390,MountainCar-v0
FTA,-167.0,0,36557,MountainCar-v0
FTA,-170.0,0,36727,MountainCar-v0
FTA,-128.0,0,36855,MountainCar-v0
FTA,-176.0,0,37031,MountainCar-v0
FTA,-171.0,0,37202,MountainCar-v0
FTA,-164.0,0,37366,MountainCar-v0
FTA,-164.0,0,37530,MountainCar-v0
FTA,-259.0,0,37789,MountainCar-v0
FTA,-166.0,0,37955,MountainCar-v0
FTA,-166.0,0,38121,MountainCar-v0
FTA,-162.0,0,38283,MountainCar-v0
FTA,-158.0,0,38441,MountainCar-v0
FTA,-127.0,0,38568,MountainCar-v0
FTA,-156.0,0,38724,MountainCar-v0
FTA,-220.0,0,38944,MountainCar-v0
FTA,-158.0,0,39102,MountainCar-v0
FTA,-158.0,0,39260,MountainCar-v0
FTA,-181.0,0,39441,MountainCar-v0
FTA,-166.0,0,39607,MountainCar-v0
FTA,-162.0,0,39769,MountainCar-v0
FTA,-179.0,0,39948,MountainCar-v0
FTA,-164.0,0,40112,MountainCar-v0
FTA,-180.0,0,40292,MountainCar-v0
FTA,-164.0,0,40456,MountainCar-v0
FTA,-165.0,0,40621,MountainCar-v0
FTA,-165.0,0,40786,MountainCar-v0
FTA,-170.0,0,40956,MountainCar-v0
FTA,-182.0,0,41138,MountainCar-v0
FTA,-164.0,0,41302,MountainCar-v0
FTA,-164.0,0,41466,MountainCar-v0
FTA,-165.0,0,41631,MountainCar-v0
FTA,-173.0,0,41804,MountainCar-v0
FTA,-172.0,0,41976,MountainCar-v0
FTA,-213.0,0,42189,MountainCar-v0
FTA,-187.0,0,42376,MountainCar-v0
FTA,-181.0,0,42557,MountainCar-v0
FTA,-164.0,0,42721,MountainCar-v0
FTA,-190.0,0,42911,MountainCar-v0
FTA,-162.0,0,43073,MountainCar-v0
FTA,-183.0,0,43256,MountainCar-v0
FTA,-183.0,0,43439,MountainCar-v0
FTA,-363.0,0,43802,MountainCar-v0
FTA,-166.0,0,43968,MountainCar-v0
FTA,-159.0,0,44127,MountainCar-v0
FTA,-162.0,0,44289,MountainCar-v0
FTA,-197.0,0,44486,MountainCar-v0
FTA,-185.0,0,44671,MountainCar-v0
FTA,-158.0,0,44829,MountainCar-v0
FTA,-194.0,0,45023,MountainCar-v0
FTA,-160.0,0,45183,MountainCar-v0
FTA,-196.0,0,45379,MountainCar-v0
FTA,-183.0,0,45562,MountainCar-v0
FTA,-669.0,0,46231,MountainCar-v0
FTA,-157.0,0,46388,MountainCar-v0
FTA,-171.0,0,46559,MountainCar-v0
FTA,-188.0,0,46747,MountainCar-v0
FTA,-257.0,0,47004,MountainCar-v0
FTA,-324.0,0,47328,MountainCar-v0
FTA,-244.0,0,47572,MountainCar-v0
FTA,-301.0,0,47873,MountainCar-v0
FTA,-179.0,0,48052,MountainCar-v0
FTA,-155.0,0,48207,MountainCar-v0
FTA,-159.0,0,48366,MountainCar-v0
FTA,-197.0,0,48563,MountainCar-v0
FTA,-163.0,0,48726,MountainCar-v0
FTA,-130.0,0,48856,MountainCar-v0
FTA,-128.0,0,48984,MountainCar-v0
FTA,-217.0,0,49201,MountainCar-v0
FTA,-129.0,0,49330,MountainCar-v0
FTA,-122.0,0,49452,MountainCar-v0
FTA,-145.0,0,49597,MountainCar-v0
FTA,-217.0,0,49814,MountainCar-v0
FTA,-140.0,0,49954,MountainCar-v0
FTA,-5.0,0,7,Pixelcopter-PLE-v0
FTA,-5.0,0,13,Pixelcopter-PLE-v0
FTA,-4.0,0,23,Pixelcopter-PLE-v0
FTA,-4.0,0,33,Pixelcopter-PLE-v0
FTA,-5.0,0,39,Pixelcopter-PLE-v0
FTA,-5.0,0,46,Pixelcopter-PLE-v0
FTA,-5.0,0,55,Pixelcopter-PLE-v0
FTA,-5.0,0,60,Pixelcopter-PLE-v0
FTA,-5.0,0,67,Pixelcopter-PLE-v0
FTA,-5.0,0,72,Pixelcopter-PLE-v0
FTA,-5.0,0,76,Pixelcopter-PLE-v0
FTA,-3.0,0,93,Pixelcopter-PLE-v0
FTA,-5.0,0,98,Pixelcopter-PLE-v0
FTA,-5.0,0,107,Pixelcopter-PLE-v0
FTA,-5.0,0,112,Pixelcopter-PLE-v0
FTA,-5.0,0,116,Pixelcopter-PLE-v0
FTA,-5.0,0,122,Pixelcopter-PLE-v0
FTA,-4.0,0,133,Pixelcopter-PLE-v0
FTA,-5.0,0,140,Pixelcopter-PLE-v0
FTA,-5.0,0,144,Pixelcopter-PLE-v0
FTA,-5.0,0,150,Pixelcopter-PLE-v0
FTA,-5.0,0,156,Pixelcopter-PLE-v0
FTA,-5.0,0,163,Pixelcopter-PLE-v0
FTA,-4.0,0,173,Pixelcopter-PLE-v0
FTA,-5.0,0,178,Pixelcopter-PLE-v0
FTA,-5.0,0,182,Pixelcopter-PLE-v0
FTA,-5.0,0,188,Pixelcopter-PLE-v0
FTA,-5.0,0,194,Pixelcopter-PLE-v0
FTA,-5.0,0,198,Pixelcopter-PLE-v0
FTA,-5.0,0,205,Pixelcopter-PLE-v0
FTA,-4.0,0,216,Pixelcopter-PLE-v0
FTA,-3.0,0,233,Pixelcopter-PLE-v0
FTA,-5.0,0,238,Pixelcopter-PLE-v0
FTA,-5.0,0,243,Pixelcopter-PLE-v0
FTA,-5.0,0,250,Pixelcopter-PLE-v0
FTA,-5.0,0,259,Pixelcopter-PLE-v0
FTA,-5.0,0,266,Pixelcopter-PLE-v0
FTA,-5.0,0,272,Pixelcopter-PLE-v0
FTA,-5.0,0,278,Pixelcopter-PLE-v0
FTA,-5.0,0,283,Pixelcopter-PLE-v0
FTA,-5.0,0,290,Pixelcopter-PLE-v0
FTA,-5.0,0,298,Pixelcopter-PLE-v0
FTA,-5.0,0,304,Pixelcopter-PLE-v0
FTA,-5.0,0,310,Pixelcopter-PLE-v0
FTA,-5.0,0,317,Pixelcopter-PLE-v0
FTA,-5.0,0,325,Pixelcopter-PLE-v0
FTA,-5.0,0,331,Pixelcopter-PLE-v0
FTA,-5.0,0,337,Pixelcopter-PLE-v0
FTA,-4.0,0,347,Pixelcopter-PLE-v0
FTA,-5.0,0,354,Pixelcopter-PLE-v0
FTA,-5.0,0,362,Pixelcopter-PLE-v0
FTA,-5.0,0,367,Pixelcopter-PLE-v0
FTA,-4.0,0,379,Pixelcopter-PLE-v0
FTA,-5.0,0,385,Pixelcopter-PLE-v0
FTA,-5.0,0,389,Pixelcopter-PLE-v0
FTA,-5.0,0,395,Pixelcopter-PLE-v0
FTA,-5.0,0,400,Pixelcopter-PLE-v0
FTA,-5.0,0,408,Pixelcopter-PLE-v0
FTA,-5.0,0,413,Pixelcopter-PLE-v0
FTA,-5.0,0,420,Pixelcopter-PLE-v0
FTA,-5.0,0,425,Pixelcopter-PLE-v0
FTA,-4.0,0,437,Pixelcopter-PLE-v0
FTA,-4.0,0,449,Pixelcopter-PLE-v0
FTA,-5.0,0,455,Pixelcopter-PLE-v0
FTA,-4.0,0,466,Pixelcopter-PLE-v0
FTA,-5.0,0,472,Pixelcopter-PLE-v0
FTA,-5.0,0,479,Pixelcopter-PLE-v0
FTA,-4.0,0,490,Pixelcopter-PLE-v0
FTA,-3.0,0,509,Pixelcopter-PLE-v0
FTA,-5.0,0,515,Pixelcopter-PLE-v0
FTA,-4.0,0,527,Pixelcopter-PLE-v0
FTA,-5.0,0,532,Pixelcopter-PLE-v0
FTA,-3.0,0,548,Pixelcopter-PLE-v0
FTA,-5.0,0,553,Pixelcopter-PLE-v0
FTA,-2.0,0,577,Pixelcopter-PLE-v0
FTA,-5.0,0,583,Pixelcopter-PLE-v0
FTA,-4.0,0,594,Pixelcopter-PLE-v0
FTA,-5.0,0,599,Pixelcopter-PLE-v0
FTA,-4.0,0,610,Pixelcopter-PLE-v0
FTA,-5.0,0,616,Pixelcopter-PLE-v0
FTA,-5.0,0,623,Pixelcopter-PLE-v0
FTA,-3.0,0,640,Pixelcopter-PLE-v0
FTA,-5.0,0,647,Pixelcopter-PLE-v0
FTA,-4.0,0,657,Pixelcopter-PLE-v0
FTA,-5.0,0,662,Pixelcopter-PLE-v0
FTA,-4.0,0,672,Pixelcopter-PLE-v0
FTA,-5.0,0,679,Pixelcopter-PLE-v0
FTA,-4.0,0,694,Pixelcopter-PLE-v0
FTA,-4.0,0,704,Pixelcopter-PLE-v0
FTA,-5.0,0,711,Pixelcopter-PLE-v0
FTA,-4.0,0,721,Pixelcopter-PLE-v0
FTA,-5.0,0,726,Pixelcopter-PLE-v0
FTA,-5.0,0,733,Pixelcopter-PLE-v0
FTA,-4.0,0,745,Pixelcopter-PLE-v0
FTA,-4.0,0,758,Pixelcopter-PLE-v0
FTA,-2.0,0,781,Pixelcopter-PLE-v0
FTA,-5.0,0,786,Pixelcopter-PLE-v0
FTA,-5.0,0,792,Pixelcopter-PLE-v0
FTA,-2.0,0,814,Pixelcopter-PLE-v0
FTA,-5.0,0,821,Pixelcopter-PLE-v0
FTA,-5.0,0,827,Pixelcopter-PLE-v0
FTA,-4.0,0,838,Pixelcopter-PLE-v0
FTA,-5.0,0,844,Pixelcopter-PLE-v0
FTA,-3.0,0,865,Pixelcopter-PLE-v0
