Method,Return,Seed,Step,Task
LWTA,-502.0,0,501,MountainCar-v0
LWTA,-1000.0,0,1501,MountainCar-v0
LWTA,-1000.0,0,2501,MountainCar-v0
LWTA,-1000.0,0,3501,MountainCar-v0
LWTA,-773.0,0,4274,MountainCar-v0
LWTA,-874.0,0,5148,MountainCar-v0
LWTA,-541.0,0,5689,MountainCar-v0
LWTA,-568.0,0,6257,MountainCar-v0
LWTA,-285.0,0,6542,MountainCar-v0
LWTA,-565.0,0,7107,MountainCar-v0
LWTA,-372.0,0,7479,MountainCar-v0
LWTA,-395.0,0,7874,MountainCar-v0
LWTA,-207.0,0,8081,MountainCar-v0
LWTA,-310.0,0,8391,MountainCar-v0
LWTA,-202.0,0,8593,MountainCar-v0
LWTA,-450.0,0,9043,MountainCar-v0
LWTA,-654.0,0,9697,MountainCar-v0
LWTA,-252.0,0,9949,MountainCar-v0
LWTA,-315.0,0,10264,MountainCar-v0
LWTA,-161.0,0,10425,MountainCar-v0
LWTA,-275.0,0,10700,MountainCar-v0
LWTA,-175.0,0,10875,MountainCar-v0
LWTA,-178.0,0,11053,MountainCar-v0
LWTA,-196.0,0,11249,MountainCar-v0
LWTA,-173.0,0,11422,MountainCar-v0
LWTA,-198.0,0,11620,MountainCar-v0
LWTA,-158.0,0,11778,MountainCar-v0
LWTA,-160.0,0,11938,MountainCar-v0
LWTA,-136.0,0,12074,MountainCar-v0
LWTA,-155.0,0,12229,MountainCar-v0
LWTA,-155.0,0,12384,MountainCar-v0
LWTA,-167.0,0,12551,MountainCar-v0
LWTA,-147.0,0,12698,MountainCar-v0
LWTA,-150.0,0,12848,MountainCar-v0
LWTA,-159.0,0,13007,MountainCar-v0
LWTA,-187.0,0,13194,MountainCar-v0
LWTA,-160.0,0,13354,MountainCar-v0
LWTA,-153.0,0,13507,MountainCar-v0
LWTA,-157.0,0,13664,MountainCar-v0
LWTA,-168.0,0,13832,MountainCar-v0
LWTA,-131.0,0,13963,MountainCar-v0
LWTA,-167.0,0,14130,MountainCar-v0
LWTA,-199.0,0,14329,MountainCar-v0
LWTA,-152.0,0,14481,MountainCar-v0
LWTA,-145.0,0,14626,MountainCar-v0
LWTA,-137.0,0,14763,MountainCar-v0
LWTA,-141.0,0,14904,MountainCar-v0
LWTA,-163.0,0,15067,MountainCar-v0
LWTA,-200.0,0,15267,MountainCar-v0
LWTA,-219.0,0,15486,MountainCar-v0
LWTA,-135.0,0,15621,MountainCar-v0
LWTA,-92.0,0,15713,MountainCar-v0
LWTA,-145.0,0,15858,MountainCar-v0
LWTA,-89.0,0,15947,MountainCar-v0
LWTA,-143.0,0,16090,MountainCar-v0
LWTA,-92.0,0,16182,MountainCar-v0
LWTA,-189.0,0,16371,MountainCar-v0
LWTA,-94.0,0,16465,MountainCar-v0
LWTA,-148.0,0,16613,MountainCar-v0
LWTA,-149.0,0,16762,MountainCar-v0
LWTA,-91.0,0,16853,MountainCar-v0
LWTA,-146.0,0,16999,MountainCar-v0
LWTA,-189.0,0,17188,MountainCar-v0
LWTA,-148.0,0,17336,MountainCar-v0
LWTA,-141.0,0,17477,MountainCar-v0
LWTA,-152.0,0,17629,MountainCar-v0
LWTA,-139.0,0,17768,MountainCar-v0
LWTA,-237.0,0,18005,MountainCar-v0
LWTA,-107.0,0,18112,MountainCar-v0
LWTA,-150.0,0,18262,MountainCar-v0
LWTA,-95.0,0,18357,MountainCar-v0
LWTA,-152.0,0,18509,MountainCar-v0
LWTA,-98.0,0,18607,MountainCar-v0
LWTA,-153.0,0,18760,MountainCar-v0
LWTA,-151.0,0,18911,MountainCar-v0
LWTA,-146.0,0,19057,MountainCar-v0
LWTA,-164.0,0,19221,MountainCar-v0
LWTA,-102.0,0,19323,MountainCar-v0
LWTA,-140.0,0,19463,MountainCar-v0
LWTA,-178.0,0,19641,MountainCar-v0
LWTA,-138.0,0,19779,MountainCar-v0
LWTA,-167.0,0,19946,MountainCar-v0
LWTA,-92.0,0,20038,MountainCar-v0
LWTA,-231.0,0,20269,MountainCar-v0
LWTA,-195.0,0,20464,MountainCar-v0
LWTA,-164.0,0,20628,MountainCar-v0
LWTA,-129.0,0,20757,MountainCar-v0
LWTA,-164.0,0,20921,MountainCar-v0
LWTA,-217.0,0,21138,MountainCar-v0
LWTA,-187.0,0,21325,MountainCar-v0
LWTA,-252.0,0,21577,MountainCar-v0
LWTA,-197.0,0,21774,MountainCar-v0
LWTA,-127.0,0,21901,MountainCar-v0
LWTA,-130.0,0,22031,MountainCar-v0
LWTA,-120.0,0,22151,MountainCar-v0
LWTA,-120.0,0,22271,MountainCar-v0
LWTA,-101.0,0,22372,MountainCar-v0
LWTA,-114.0,0,22486,MountainCar-v0
LWTA,-92.0,0,22578,MountainCar-v0
LWTA,-106.0,0,22684,MountainCar-v0
LWTA,-118.0,0,22802,MountainCar-v0
LWTA,-107.0,0,22909,MountainCar-v0
LWTA,-107.0,0,23016,MountainCar-v0
LWTA,-85.0,0,23101,MountainCar-v0
LWTA,-154.0,0,23255,MountainCar-v0
LWTA,-94.0,0,23349,MountainCar-v0
LWTA,-171.0,0,23520,MountainCar-v0
LWTA,-143.0,0,23663,MountainCar-v0
LWTA,-147.0,0,23810,MountainCar-v0
LWTA,-115.0,0,23925,MountainCar-v0
LWTA,-146.0,0,24071,MountainCar-v0
LWTA,-148.0,0,24219,MountainCar-v0
LWTA,-153.0,0,24372,MountainCar-v0
LWTA,-156.0,0,24528,MountainCar-v0
LWTA,-136.0,0,24664,MountainCar-v0
LWTA,-143.0,0,24807,MountainCar-v0
LWTA,-145.0,0,24952,MountainCar-v0
LWTA,-149.0,0,25101,MountainCar-v0
LWTA,-142.0,0,25243,MountainCar-v0
LWTA,-152.0,0,25395,MountainCar-v0
LWTA,-149.0,0,25544,MountainCar-v0
LWTA,-168.0,0,25712,MountainCar-v0
LWTA,-145.0,0,25857,MountainCar-v0
LWTA,-95.0,0,25952,MountainCar-v0
LWTA,-152.0,0,26104,MountainCar-v0
LWTA,-140.0,0,26244,MountainCar-v0
LWTA,-140.0,0,26384,MountainCar-v0
LWTA,-144.0,0,26528,MountainCar-v0
LWTA,-134.0,0,26662,MountainCar-v0
LWTA,-188.0,0,26850,MountainCar-v0
LWTA,-88.0,0,26938,MountainCar-v0
LWTA,-121.0,0,27059,MountainCar-v0
LWTA,-106.0,0,27165,MountainCar-v0
LWTA,-107.0,0,27272,MountainCar-v0
LWTA,-109.0,0,27381,MountainCar-v0
LWTA,-122.0,0,27503,MountainCar-v0
LWTA,-141.0,0,27644,MountainCar-v0
LWTA,-88.0,0,27732,MountainCar-v0
LWTA,-90.0,0,27822,MountainCar-v0
LWTA,-88.0,0,27910,MountainCar-v0
LWTA,-110.0,0,28020,MountainCar-v0
LWTA,-152.0,0,28172,MountainCar-v0
LWTA,-176.0,0,28348,MountainCar-v0
LWTA,-115.0,0,28463,MountainCar-v0
LWTA,-112.0,0,28575,MountainCar-v0
LWTA,-158.0,0,28733,MountainCar-v0
LWTA,-148.0,0,28881,MountainCar-v0
LWTA,-121.0,0,29002,MountainCar-v0
LWTA,-139.0,0,29141,MountainCar-v0
LWTA,-116.0,0,29257,MountainCar-v0
