Method,Return,Seed,Step,Task
Maxout,-1000.0,0,999,MountainCar-v0
Maxout,-1000.0,0,1999,MountainCar-v0
Maxout,-714.0,0,2713,MountainCar-v0
Maxout,-363.0,0,3076,MountainCar-v0
Maxout,-280.0,0,3356,MountainCar-v0
Maxout,-725.0,0,4081,MountainCar-v0
Maxout,-938.0,0,5019,MountainCar-v0
Maxout,-314.0,0,5333,MountainCar-v0
Maxout,-201.0,0,5534,MountainCar-v0
Maxout,-376.0,0,5910,MountainCar-v0
Maxout,-273.0,0,6183,MountainCar-v0
Maxout,-242.0,0,6425,MountainCar-v0
Maxout,-177.0,0,6602,MountainCar-v0
Maxout,-241.0,0,6843,MountainCar-v0
Maxout,-174.0,0,7017,MountainCar-v0
Maxout,-173.0,0,7190,MountainCar-v0
Maxout,-176.0,0,7366,MountainCar-v0
Maxout,-181.0,0,7547,MountainCar-v0
Maxout,-168.0,0,7715,MountainCar-v0
Maxout,-159.0,0,7874,MountainCar-v0
Maxout,-160.0,0,8034,MountainCar-v0
Maxout,-151.0,0,8185,MountainCar-v0
Maxout,-161.0,0,8346,MountainCar-v0
Maxout,-159.0,0,8505,MountainCar-v0
Maxout,-158.0,0,8663,MountainCar-v0
Maxout,-163.0,0,8826,MountainCar-v0
Maxout,-159.0,0,8985,MountainCar-v0
Maxout,-149.0,0,9134,MountainCar-v0
Maxout,-157.0,0,9291,MountainCar-v0
Maxout,-305.0,0,9596,MountainCar-v0
Maxout,-293.0,0,9889,MountainCar-v0
Maxout,-275.0,0,10164,MountainCar-v0
Maxout,-153.0,0,10317,MountainCar-v0
Maxout,-265.0,0,10582,MountainCar-v0
Maxout,-485.0,0,11067,MountainCar-v0
Maxout,-866.0,0,11933,MountainCar-v0
Maxout,-708.0,0,12641,MountainCar-v0
Maxout,-158.0,0,12799,MountainCar-v0
Maxout,-150.0,0,12949,MountainCar-v0
Maxout,-150.0,0,13099,MountainCar-v0
Maxout,-321.0,0,13420,MountainCar-v0
Maxout,-146.0,0,13566,MountainCar-v0
Maxout,-150.0,0,13716,MountainCar-v0
Maxout,-1000.0,0,14716,MountainCar-v0
Maxout,-999.0,0,15715,MountainCar-v0
Maxout,-154.0,0,15869,MountainCar-v0
Maxout,-154.0,0,16023,MountainCar-v0
Maxout,-151.0,0,16174,MountainCar-v0
Maxout,-146.0,0,16320,MountainCar-v0
Maxout,-158.0,0,16478,MountainCar-v0
Maxout,-147.0,0,16625,MountainCar-v0
Maxout,-151.0,0,16776,MountainCar-v0
Maxout,-153.0,0,16929,MountainCar-v0
Maxout,-151.0,0,17080,MountainCar-v0
Maxout,-147.0,0,17227,MountainCar-v0
Maxout,-150.0,0,17377,MountainCar-v0
Maxout,-147.0,0,17524,MountainCar-v0
