Method,Return,Seed,Step,Task
ReLU,-1000.0,0,999,MountainCar-v0
ReLU,-1000.0,0,1999,MountainCar-v0
ReLU,-443.0,0,2442,MountainCar-v0
ReLU,-537.0,0,2979,MountainCar-v0
ReLU,-1000.0,0,3979,MountainCar-v0
ReLU,-1000.0,0,4979,MountainCar-v0
ReLU,-1000.0,0,5979,MountainCar-v0
ReLU,-936.0,0,6915,MountainCar-v0
ReLU,-407.0,0,7322,MountainCar-v0
ReLU,-297.0,0,7619,MountainCar-v0
ReLU,-160.0,0,7779,MountainCar-v0
ReLU,-172.0,0,7951,MountainCar-v0
ReLU,-169.0,0,8120,MountainCar-v0
ReLU,-167.0,0,8287,MountainCar-v0
ReLU,-168.0,0,8455,MountainCar-v0
ReLU,-160.0,0,8615,MountainCar-v0
ReLU,-146.0,0,8761,MountainCar-v0
ReLU,-148.0,0,8909,MountainCar-v0
ReLU,-181.0,0,9090,MountainCar-v0
ReLU,-156.0,0,9246,MountainCar-v0
ReLU,-156.0,0,9402,MountainCar-v0
ReLU,-158.0,0,9560,MountainCar-v0
ReLU,-159.0,0,9719,MountainCar-v0
ReLU,-201.0,0,9920,MountainCar-v0
ReLU,-211.0,0,10131,MountainCar-v0
ReLU,-127.0,0,10258,MountainCar-v0
ReLU,-167.0,0,10425,MountainCar-v0
ReLU,-158.0,0,10583,MountainCar-v0
ReLU,-163.0,0,10746,MountainCar-v0
ReLU,-210.0,0,10956,MountainCar-v0
ReLU,-158.0,0,11114,MountainCar-v0
ReLU,-153.0,0,11267,MountainCar-v0
ReLU,-159.0,0,11426,MountainCar-v0
ReLU,-151.0,0,11577,MountainCar-v0
ReLU,-154.0,0,11731,MountainCar-v0
ReLU,-157.0,0,11888,MountainCar-v0
ReLU,-163.0,0,12051,MountainCar-v0
ReLU,-96.0,0,12147,MountainCar-v0
ReLU,-143.0,0,12290,MountainCar-v0
ReLU,-151.0,0,12441,MountainCar-v0
ReLU,-157.0,0,12598,MountainCar-v0
ReLU,-155.0,0,12753,MountainCar-v0
ReLU,-162.0,0,12915,MountainCar-v0
